epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1354,2.91433,7.10028,2.80185,0.0008,1,0.03963,0.00695,2.69244,13.1824,2.77154,0.00012,0.00012,0.00012
2,94.6718,2.42666,5.98342,2.40893,0.0008,1,0.09081,0.03784,1.67255,10.9173,1.83887,0.000254852,0.000254852,0.000254852
3,166.95,2.20329,4.52496,2.17573,0.0008,1,0.17692,0.04681,2.43351,10.5084,2.36906,0.00038416,0.00038416,0.00038416
4,212.855,1.69699,4.61055,1.7922,0.0008,1,0.14057,0.07812,1.72495,8.83847,2.13696,0.000507924,0.000507924,0.000507924
5,259.891,1.67679,3.95529,1.70226,0.0008,1,0.19443,0.13894,1.62956,9.02368,1.77356,0.000626144,0.000626144,0.000626144
6,306.5,1.65642,3.62565,1.59977,0.0008,1,0.41755,0.10672,1.88048,8.15926,2.09896,0.00073882,0.00073882,0.00073882
7,353.751,1.67677,3.33893,1.60511,0.66195,0.42857,0.63718,0.0925,2.96488,9.39682,4.3777,0.000845952,0.000845952,0.000845952
8,401.015,1.45699,3.73539,1.47699,0.69106,1,0.811,0.26226,2.33594,9.23198,3.43023,0.00094754,0.00094754,0.00094754
9,450.776,1.61402,3.97346,1.60328,0.8301,1,0.9775,0.72769,1.76422,8.41927,3.72959,0.00104358,0.00104358,0.00104358
10,502.184,1.71137,3.24523,1.73382,0.35989,1,0.58683,0.14273,2.75587,9.12392,4.64322,0.00113408,0.00113408,0.00113408
11,555.065,1.75226,2.85363,1.62638,0.00073,0.71429,0.00519,0.00104,3.11499,12.062,5.76219,0.00121904,0.00121904,0.00121904
12,607.549,1.65601,2.96625,1.60132,0.00069,0.85714,0.03134,0.00646,3.35327,8.0218,4.33459,0.00129845,0.00129845,0.00129845
13,659.695,1.54964,3.30834,1.63165,0.08602,0.14286,0.0456,0.01628,3.3006,9.22966,4.3022,0.00137232,0.00137232,0.00137232
14,712.384,1.57405,3.08081,1.61131,0.30555,0.56613,0.30855,0.0675,2.6003,8.69992,3.75091,0.00144064,0.00144064,0.00144064
15,765.028,1.53399,3.01814,1.51787,0.72006,0.42857,0.52635,0.24322,1.97387,9.35185,3.57182,0.0014456,0.0014456,0.0014456
16,817.557,1.59134,2.71369,1.6153,0.35628,0.57143,0.52524,0.2891,1.73421,16.8937,3.03291,0.001406,0.001406,0.001406
17,872.61,1.54466,2.75829,1.59556,0.42688,0.57143,0.44383,0.14651,1.89148,10.9816,3.61405,0.0013664,0.0013664,0.0013664
18,926.03,1.78528,2.54527,1.67186,0.48591,0.42857,0.50177,0.27628,2.49746,6.00776,6.40468,0.0013268,0.0013268,0.0013268
19,978.022,1.73135,2.69717,1.65283,1,0.40635,0.49496,0.24039,2.60578,6.18397,5.00004,0.0012872,0.0012872,0.0012872
20,1031.44,1.34905,2.41084,1.3918,1,0.54336,0.83833,0.41015,1.5687,4.4882,1.80211,0.0012476,0.0012476,0.0012476
21,1086.89,1.53606,2.35897,1.51171,0.78096,0.51704,0.69211,0.49896,1.55426,4.15732,1.66398,0.001208,0.001208,0.001208
22,1142.61,1.44396,2.31517,1.4531,0.66298,0.57143,0.551,0.37189,1.61245,4.54251,1.81392,0.0011684,0.0011684,0.0011684
23,1199.87,1.49909,2.19825,1.44038,0.93301,0.57143,0.64554,0.31189,2.07559,4.44317,2.02856,0.0011288,0.0011288,0.0011288
24,1256.36,1.3664,2.10887,1.34908,0.52862,0.71429,0.61969,0.2511,1.52671,3.88132,1.68286,0.0010892,0.0010892,0.0010892
25,1311.62,1.47193,2.09065,1.44616,0.72947,0.85714,0.83167,0.39893,1.49409,3.82261,1.86577,0.0010496,0.0010496,0.0010496
26,1366.59,1.35834,2.2022,1.32804,1,0.85163,0.9775,0.56915,1.34834,3.53716,1.93263,0.00101,0.00101,0.00101
27,1422.01,1.37066,2.08549,1.42054,0.82628,0.85714,0.85081,0.5526,1.33861,3.15156,1.7388,0.0009704,0.0009704,0.0009704
28,1478.75,1.25673,1.91797,1.34756,0.61776,1,0.869,0.58593,1.31474,3.06331,1.61431,0.0009308,0.0009308,0.0009308
29,1528.05,1.28382,2.03794,1.306,0.75353,1,0.90246,0.66031,1.26703,3.36015,1.46035,0.0008912,0.0008912,0.0008912
30,1574.43,1.34374,2.18072,1.34579,0.75838,1,0.94389,0.72331,1.04829,3.13029,1.25642,0.0008516,0.0008516,0.0008516
31,1620.58,1.22153,1.83298,1.28853,0.85339,1,0.9775,0.78443,0.94046,2.60198,1.21056,0.000812,0.000812,0.000812
32,1668.04,1.12279,1.72268,1.23079,0.99732,1,0.995,0.66467,1.11708,2.35608,1.27324,0.0007724,0.0007724,0.0007724
33,1716.19,1.16807,1.71709,1.30654,0.92134,1,0.995,0.6736,1.14573,2.05242,1.27874,0.0007328,0.0007328,0.0007328
34,1766.48,1.08698,1.75565,1.20025,0.98468,1,0.995,0.70678,1.07668,1.90423,1.22545,0.0006932,0.0006932,0.0006932
35,1820.18,1.28239,1.63193,1.33193,0.99023,1,0.995,0.76951,0.82506,1.92462,1.05995,0.0006536,0.0006536,0.0006536
36,1876.1,1.11991,1.78855,1.29964,0.99483,1,0.995,0.59027,1.21125,2.17935,1.21326,0.000614,0.000614,0.000614
37,1931.9,1.07729,1.67481,1.26284,1,0.99915,0.995,0.68466,1.17829,2.01041,1.23512,0.0005744,0.0005744,0.0005744
38,1983.29,1.04092,1.61133,1.19429,0.85817,1,0.9775,0.74603,0.88174,1.72274,1.20952,0.0005348,0.0005348,0.0005348
39,2033.61,1.08448,1.4824,1.28217,0.98046,1,0.995,0.77264,0.78847,1.76053,1.08888,0.0004952,0.0004952,0.0004952
40,2086.92,1.02621,1.57118,1.16613,0.97211,1,0.995,0.78591,0.77127,1.70864,0.96501,0.0004556,0.0004556,0.0004556
41,2138.79,1.19328,2.98094,1.7261,0.9609,1,0.995,0.78928,0.77336,1.65003,0.96574,0.000416,0.000416,0.000416
42,2189.94,0.93725,1.63495,1.19083,0.96866,1,0.995,0.7682,0.96042,1.93094,1.03079,0.0003764,0.0003764,0.0003764
43,2242.59,0.93822,1.7251,1.29556,0.99866,1,0.995,0.64875,1.22655,1.86394,1.19278,0.0003368,0.0003368,0.0003368
44,2294.71,0.7052,5.27739,1.00624,0.98083,1,0.995,0.74323,0.9476,1.95615,1.05375,0.0002972,0.0002972,0.0002972
45,2346.44,0.71408,1.63231,1.09125,0.98741,1,0.995,0.80742,0.77469,1.90105,0.97755,0.0002576,0.0002576,0.0002576
46,2398.9,0.72259,1.52125,1.16793,0.98823,1,0.995,0.7656,0.75018,1.68295,0.9109,0.000218,0.000218,0.000218
47,2451.28,0.69859,1.51956,1.06759,0.98169,1,0.995,0.80119,0.77218,1.60406,0.89434,0.0001784,0.0001784,0.0001784
48,2503.88,0.69228,1.47286,1.1765,0.97686,1,0.995,0.83486,0.6859,1.65089,0.86959,0.0001388,0.0001388,0.0001388
49,2558.28,0.62972,1.40979,1.11884,0.97683,1,0.995,0.84719,0.63117,1.66632,0.86147,9.92e-05,9.92e-05,9.92e-05
50,2612.55,0.62822,1.38266,1.09032,0.97521,1,0.995,0.84152,0.59412,1.659,0.85472,5.96e-05,5.96e-05,5.96e-05
